pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
CNP,7,2400,"SB, RS, SHK","S. Basha, R. Sanam, S. Hariram Kumar",HZC,EM,"Assessment Of Groundwater Quality In And Around Lanxess Unit And Geo-chemical Modelling Studies For Lanxess India Pvt. Ltd., Nagda","Lanxess India Pvt. Ltd., Nagda (m.p.)",43374,44104,44561,2 65,ONG,Groundwater Hydrology,Water Quality Analysis,Geochemistry,Environmental Chemistry,Contaminant Transport Modeling,Environmental Monitoring,Industrial Wastewater Treatment,Chemical Engineering,Environmental Regulations And Compliance,Risk Assessment And Management.,,,,,,,,
CNP,2,2401,RB,R. Biniwale,CTMD,EE,Third Party Audit For Stps At Pune Municipal Corporation,"Pune Municipal Corporation, Pune",43398,44129,44859,32,ONG,Sewage Treatment Plants,Environmental Regulations And Compliance,Water Quality Testing And Analysis,Waste Management And Disposal,Health And Safety Protocols,Quality Control And Assurance,Project Management,Risk Assessment And Mitigation,Data Analysis And Reporting,Communication And Stakeholder Engagement.,,,,,,,,
CNP,7,2402,YP,Y. Pakade,CTMD,EE,Verification Of Annual Mine Closure Activities Of Kapurdi Jalipa Open Cast Lignite Mines Of M/s. Blmcl At Barmer District Of Rajasthan,"Barmer Lignite Mining Company Ltd., (blmcl), Jaipur",43393,44124,44494,20,ONG,Mining Engineering,Environmental Engineering,Geology,Hydrology,Soil Science,Land Reclamation,Waste Management,Air Quality Monitoring,Water Quality Monitoring,Legal And Regulatory Compliance.,,,,,,,,
CNP,2,2403,"TVBPS, S","TVBPS Rama Krishna, Sumathi",HZC,EM,"Assessment And Dispersion Of Odourous Gases Due To Cetp At Fabcity, Raviryal Village, Maheswaram (m), Rangareddy District","Telangana State Industrial Infrastructure Corporation, Hyderabad",43405,44135,44561,2 15,ONG,Environmental Science,Chemical Engineering,Air Quality Management,Industrial Hygiene,Environmental Monitoring,Odor Control,Environmental Health And Safety,Pollution Control,Environmental Impact Assessment,Environmental Law And Regulations.,,,,,,,,
GAP,1,2404,RD,R. Dahake,BDG,EM,Disposable Paper Based Microfluidic Sensor For Efficient Determinatio Of Arsenic In Water And Food Digest,"Department Of Science & Technology (dst), New Delhi",43398,44494,,2 9,ONG,Microfluidics,Paper-based Sensors,Analytical Chemistry,Environmental Science,Food Science,Water Quality Analysis,Arsenic Toxicity And Health Effects,Biosensors,Nanotechnology,Material Science,,,,,,,,
CNP,7,2405,LS,L. Singh,EBGD,Nil,"Development Of Bamboo Diversity Model Using At Eco-rejuvenation Technology For Farmers On Waste Land At Pandhurna, ChindwarA.D.Bhanarkaristrict",Yahvii Foundation,43417,44514,45244,10,ONG,Bamboo Cultivation And Management,Eco-rejuvenation Technology,Waste Land Management,Soil Science And Soil Fertility,Climate And Weather Patterns In The Region,Agricultural Economics And Market Analysis,Sustainable Agriculture Practices,Rural Development And Community Engagement,Geographic Information Systems And Mapping,Environmental Impact Assessment,,,,,,,,
CNP,2,2406,"GK, PL","G. Khadse, P. Labhasetwar",WTMD,EM,"Training Programmes On ""water Quality Monitoring And Surveillance"" For Officials Form Maharashtra State Drinking Water Supply Department, Gsda, Zilla Parishad And Related Departments","Wsso, Water Supply & Sanitation Department, Mumbai",43374,43738,44286,21,ONG,Water Quality Analysis,Capacity Building,Sampling Techniques And Protocols,Data Analysis And Interpretation,Water Treatment Technologies And Processes,Health Effects Of Contaminated Water,Policy And Regulatory Frameworks,Risk Assessment And Management,Communication And Stakeholder Engagement,Nil,,,,,,,,
CNP,4,2407,LD,L. Deshpande,WTMD,EM,"Investigations On Water Sources In 14 Villages Of Tamnar Block Of Raigarh District, Chhattisgarh","Maharashtra State Power Generation Co. Ltd., (mspgcl), Mumbai",43405,44135,44865,2 5,ONG,Hydrology,Water Quality Analysis,Geology,Environmental Science,Gis Mapping And Analysis,Community Development And Engagement,Water Resource Management,Agricultural Practices And Irrigation Systems,Public Health And Sanitation,Policy And Governance,,,,,,,,
TSP,2,2408,SK,S. Kumar,TDC,TDC,Vetting Of Dpr On Solid Waste Management For Akola City,"Akola Municipal Corporation, Akola",43466,43830,44286,3,ONG,Solid Waste Management Policies And Regulations,Waste Characterization And Quantification,Waste Collection And Transportation Systems,Waste Disposal And Treatment Technologies,Environmental Impact Assessment,Public Health And Safety Considerations,Financial And Economic Analysis,Stakeholder Engagement And Community Participation,Project Management And Implementation,Monitoring And Evaluation Frameworks.,,,,,,,,
TSP,5,2409,SKG,S. K. Goyal,DZC,Nil,"Two Days Workshop On""improvement Of Mercury Management In India"" At Chennai During Dec. 4-5, 2018","Undp, New Delhi",43435,43921,44196,90.98,ONG,Environmental Science,Chemical Engineering,Waste Management,Public Health,Policy And Governance,Industrial Safety,Occupational Health,Toxicology,Sustainable Development,Energy And Resource Management,,,,,,,,
TSP,7,2410,"DM, SP","D. Majumdar, S. Pramanik",KZC,Nil,Assessment Of Impact Of Nitrite Containing Waste From Skin Pass Mill Annexed With A Cold Rolling Tandem Mill On Biological Activities Of Activated Sludge In The Aeration Tank & Secondary Setting Basin By Oxygen Uptake Rate & Treatability Studies,"Quaker Chemicals India Pvt. Ltd., Kolkata",43420,43784,44286,6,ONG,Environmental Engineering,Chemical Engineering,Waste Management,Water Treatment,Microbiology,Biotechnology,Industrial Processes,Analytical Chemistry,Statistical Analysis,Environmental Regulations And Policies.,,,,,,,,
GAP,1,2411,SG,S. Gulia,DZC,ESDMO,Deployment And Evaluation Of Air Purification Units For Traffic Junction Pollution Abatement In Delhi,"Central Pollution Control Board (cpcb), Delhi",43405,44134,,26 22,ONG,Air Pollution,Traffic Management And Flow In Urban Areas,Environmental Engineering And Technology,Air Pollution Monitoring And Measurement Techniques,Hvac Heating,Ventilation,And Air Conditioning Systems,Energy Efficiency And Sustainability,Public Policy And Regulations Related To Air Pollution,Data Analysis And Modeling,,,,,,,,
CNP,7,2412,PRP,P. R. Pujari,WTMD,EM,"Conducting Detailed Salinity, Hydrological, Geo-hydrological & Geo-physical Studies Within 10 Km Aerial Radius Of Proposed Captive Mudhvay Limestone Mine Sub Block B & Prposed Integrated Cement Plant Near Villages Maldo & Mudhvay, Taluka Lakpat,","Shree Cement Ltd. Unit, Bhuj (gujarat)",43435,44165,44377,20,ONG,Geology,Hydrology,Geochemistry,Geophysics,Environmental Science,Mining Engineering,Civil Engineering,Surveying,Gis And Remote Sensing,Project Management,,,,,,,,
GAP,1,2413,AK,A. Khardenvis,EBGD,EBG,Study Of Simultaneous Denitrification And Methane Metabolism By Denitrifying Methannotrophs From Landfill Sites,"Science & Engineering Research Board (serb), New Delhi",43413,44508,44707,2 48085,ONG,Microbiology,Environmental Science,Biotechnology,Waste Management,Chemical Engineering,Biochemistry,Microbial Ecology,Bioremediation,Anaerobic Digestion,Environmental Microbiology,,,,,,,,
CNP,7,2414,"LD, PL","L. Deshpande, P. Labhasetwar",WTMD,EM,Evaluation Of Efficacy Of Drinking Water Disinfection By Silver Ionization,"Bhask Industries, Mohali",43444,44144,44469,15,ONG,Water Treatment Processes,Microbiology And Waterborne Pathogens,Chemistry Of Silver Ionization,Water Quality Testing And Analysis,Epidemiology And Public Health,Regulatory Compliance And Standards,Water Treatment Systems,Risk Assessment And Management,Environmental Impact Assessment,Data Analysis And Statistical Methods.,,,,,,,,
CNP,7,2415,"MPP, ANV","M. P. Patil, A. N. Vaidya","WWT, SHWM",SHWM,"Preparation Of Standard Operating Procedures For Decontamination/remediation Of Contaminated Soil Resulting Due To Spillage Of Chemicals During Their Transportation To M/s. Zuari Agro Chemical Ltd., Goa","Zuari Agro Chemical Ltd., Goa",43282,43646,43921,10,ONG,Chemical Spills And Contamination,Soil Remediation Techniques,Hazardous Waste Management,Environmental Regulations And Compliance,Chemical Transportation Safety,Public Health And Safety,Risk Assessment And Management,Soil Sampling And Analysis,Decontamination Procedures,Standard Operating Procedure Development.,,,,,,,,
GAP,2,2416,RV,R. Vijay,MZC,Nil,Study Carrying Out Flood Mapping And Modeling In Vasai-virar Region,"Vasai-virar Municipal Corporation, Palghar",43466,44196,,1200,ONG,Hydrology,Geology,Geographic Information Systems,Remote Sensing,Climate Change Adaptation And Mitigation,Environmental Science,Civil Engineering,Disaster Management,Data Analysis And Visualization,Risk Assessment And Management.,,,,,,,,
CNP,3,2417,RB,R. Biniwale,CTMD,EE,"Source Apportionment Of Ambient Air Particulate Matter In Jharia Coalfields Region, Jharkhand","Bharat Coking Coal Ltd., (bccl), Dhanbad",43446,43963,45199,120,ONG,Air Pollution Monitoring And Measurement Techniques,Chemistry,Coal Mining And Its Impact On The Environment,Environmental Policy And Regulations Related To Air Quality,Statistical Analysis And Modeling Of Air Pollution Data,Health Effects Of Particulate Matter Exposure,Geographic Information Systems And Remote Sensing,Industrial Emissions And Their Contribution To Air Pollution,Atmospheric Science And Meteorology,Physics,,,,,,,,
CNP,5,2418,SG,S. Gulia,DZC,EM,Development Of A Virtual Centre For India's Air Quality Research (india-aqr),"Environment Defense Fund (edf), New York (usa)",43374,44196,44651,2 8108,ONG,Air Quality Monitoring And Analysis,Environmental Science And Engineering,Atmospheric Chemistry,Data Science And Analytics,Geographic Information Systems,Public Health And Epidemiology,Climate Change And Adaptation,Policy And Governance,Sustainable Development,Information Technology And Software Development.,,,,,,,,
CNP,7,2419,AA,A. Anshul,ERMD,EM,The Feasibility Studies Of Using Red Mud For Filing Of Exhausted Mines After Stabilization With Fly Ash Or Other Chemicals To Prevent Leaching Of The Disposed Red Mud By Utilizing Appropriate,"Hindalco Industries Ltd., Raigarh (maharashtra)",43467,44197,44926,22,ONG,Mining And Mineral Processing,Environmental Engineering,Chemical Engineering,Geology And Geotechnical Engineering,Waste Management And Disposal,Materials Science,Chemistry And Chemical Analysis,Soil Science And Soil Mechanics,Water Quality And Hydrology,Risk Assessment And Management.,,,,,,,,
CNP,2,2420,JJ,J. Joseph,CHWMD,Nil,Dpr Preparation For Implementation Of Phytorid Based Stps At Five Villages Of Solapur District,"Zilla Parishad, Solapur",43458,43822,44561,25,ONG,Wastewater Treatment Technologies,Phytorid Technology,Environmental Engineering,Water Quality Analysis,Project Management,Community Engagement And Participation,Budgeting And Financial Management,Policy And Policy And Regulatory Frameworksfor Wastewater Management,Monitoring And Evaluation Of Stp Performance,Climate Change Adaptation And Mitigation,,,,,,,,
CNP,7,2421,"BPSR, AB, KVG, AM","B. Padma. S. Rao, A. Bhanarkar, K. V.George, A. Middey",APC,Nil,Assessment Of Emission Control Measures Adopted At Captive Coal Based Power Plant Of Aluminium Smelters Of Hindalco,"Hindalco Industries Ltd., Raigarh (maharashtra)",43497,43831,45107,38,ONG,Coal Combustion And Emissions,Air Pollution Control,Environmental Regulations And Compliance,Power Plant Operations And Maintenance,Energy Efficiency And Conservation,Environmental Impact Assessment,Data Analysis And Statistical Methods,Risk Assessment And Management,Health And Safety In The Workplace,Sustainability And Corporate Social Responsibility.,,,,,,,,
CNP,3,2422,MSK,M.S.Kumar,EISD,EISD,Environmental Impact And Risk Assessment For The Proposed 60 Mmtpa Capacity Refinery Cum 18 Mmtpa Bulk Petrochemical Complex At Ratnagiri,"Ratnagiri Refinery And Petrochemicals Ltd., Mumbai",43466,44561,44926,4 3,ONG,Environmental Science,Chemical Engineering,Risk Management,Industrial Safety,Ecology,Geology,Hydrology,Air Quality Management,Waste Management,Environmental Law And Policy,,,,,,,,
CNP,1,2423,SKG,S. K. Goyal,DZC,EM,Delineation Of Airshed For Air Quality Management In Delhi,"Central Pollution Control Board (cpcb), Delhi",43466,44196,44742,25 60444,ONG,Air Quality Monitoring And Analysis,Atmospheric Science And Meteorology,Environmental Engineering,Geographic Information Systems,Urban Planning And Development,Public Health And Epidemiology,Policy And Regulatory Frameworks,Data Science And Analytics,Stakeholder Engagement And Communication,Climate Change Adaptation And Mitigation,,,,,,,,
CNP,7,2424,DM,Dipanjali Majumdar,KZC,Nil,"Functionality And Sustainability Study For Treatment Technology Of Arsenic & Iron Removal Plants By M/s. Harbauer India (p) Ltd., For Drinking Water Supply In Eastern And North-eastern India","Harbauer India (p) Ltd., Kolkata",43414,44561,,20,ONG,Water Treatment Technology,Arsenic And Iron Removal Processes,Environmental Engineering,Chemical Engineering,Water Quality Analysis,Sustainable Development,Public Health,Project Management,Regulatory Compliance,Community Engagement And Participation.,,,,,,,,
CNP,7,2658,"RB, HB","R. Biniwale, H. Bherwani",CTMD,Nil,Detailed Project Report (dpr) Preparation For The Sustainable Clean - Up Of Nallas & Lakes In Bhubaneswar,"Bhubaneswar Smart City Ltd., Bhubaneswar (odisha)",44317,45412,,4 253,ONG,Environmental Engineering,Water Management,Waste Management,Hydrology,Geotechnical Engineering,Civil Engineering,Environmental Science,Urban Planning,Sustainable Development,Project Management,,,,,,,,
CNP,3,2581,"PRP, HB","P. R. Pujari, H. Bherwani","WTMD, DRC",EM,Scientific & Technical Consultancy For Environmental Damage Cost Assessment Due To Ash Dyke Breach At Ntpc Vindhyachal,"Vstps-ntpc, Vindhyanagar (m.p.)",43891,44620,45016,2 9,ONG,Environmental Science,Geology,Hydrology,Chemistry,Risk Assessment,Environmental Law,Environmental Policy,Environmental Economics,Environmental Impact Assessment,Environmental Management,,,,,,,,
CNP,5,2427,KK,K. Kumari,EISD,EISD,National Inventory Development Of Mercury In Waste Sector In India,"United Nations Development Program (undp), New Delhi",43466,44196,44834,7 817,ONG,Waste Management,Mercury Monitoring And Analysis,Environmental Chemistry,Sampling And Laboratory Techniques,Hazardous Waste Management,Policy And Regulatory Frameworks,Nil,Nil,Nil,Nil,,,,,,,,
TSP,1,2428,SR,S. Rayalu,EMD,Nil,Emission Testing Of Firecrackers,Various Private & Govt. Agencies,43466,44561,45291,350,ONG,Chemistry,Physics,Environmental Science,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2429,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,Nil,"Treatment And Disposal Of Wastewater Using High Rate Transpiration System (hrts) At Hindustan Coca Cola Ltd., Vijayawada","Hindustan Coca-cola Beverages Pvt. Ltd., Guntur (a.p.)",43462,43826,44377,3,ONG,Wastewater Treatment Technologies,High Rate Transpiration System Hrts,Water Quality Analysis,Environmental Regulations And Compliance,Chemical Engineering,Microbiology,Bioremediation,Nil,Nil,Nil,,,,,,,,
CNP,7,2430,"RK, PRT","R. Karthik, P. R. Thawale",EBGD,Nil,"Treatment And Disposal Of Wastewater Using High Rate Transpiration System (hrts) At Hindustan Coca Cola Ltd., Vijayawada","Hindustan Coca-cola Beverages Pvt. Ltd., Guntur (a.p.)",43462,43826,45016,3 5375,ONG,Wastewater Treatment Technologies,High Rate Transpiration System Hrts,Water Quality Analysis,Environmental Regulations And Compliance,Chemical Engineering,Microbiology,Bioremediation,Nil,Nil,Nil,,,,,,,,
CNP,3,2431,MSK,M.S.Kumar,EISD,EISD,"Risk Assessment & Environmental Impact Assessment Studies For The Proposed Underground Rock Cavern Storage Of Crude Oil At Chandikhol, Odisha Under Phase Ii Sprs Projects","Indian Strategic Petroleum Reserves Ltd., Noida (u.p.)",43466,44561,44926,65,ONG,Geology,Environmental Science,Petroleum Engineering,Chemical Engineering,Risk Management And Assessment,Safety Engineering,Geotechnical Engineering,Ecology,Nil,Nil,,,,,,,,
CNP,7,2432,"MSK, PVN","M. Suresh Kumar, P. V. Nidheesh",EISD,EISD,"Environmental Monitoring For The Post Compliance Of Environmental Clearance For Tfl, Talcher","Talcher Fertilizers Ltd., Noida",43466,44561,44926,9 99992,ONG,Environmental Regulations And Policies,Air Quality Monitoring,Water Quality Monitoring,Soil Quality Monitoring,Noise Pollution Monitoring,Biodiversity Monitoring,Nil,Nil,Nil,Nil,,,,,,,,
